Water_Name,Water_Body,County,Countycode,ST_Provinc,Location,ID,lat,lon,CRB,Lat_ra,Long_ra,mean_ca_mg_2009,mean_pH_2009,roe_2009,roe_f_2009,ramcharan09,state_ass09,roi_1_2009,roi_2_2009,Roe_rank_2009,roi_3_2009,Roi_rank_2009,Rank_sumAll_2009,Rank_sum_2009,Trips2008,Trips2010,Mn_trips_08_10,DayUsedays08,DayUsedays10,Mn_dayuse_08_10,Size_Acres,No_boats_2012,No_Tourns_2012,No_Tourns_2006_08,No_boats_2006_08,Dayuse_100thm,No_ramps,CaMax_ISDA2011,ISDA2011_Rank,Elevation_ft,Motors,Fishing,Marinas,Cold,Warm,Reports,USERS,MT_Stream_Name,Length_Miles,Drainage,Region,Boat,Total_Pressure,TotPressure_Error,Total_Trips,Resident_Pressure,Res_Pressure_error,Res_Trips,Nonresident_Pressure,Nonres_Presssure_Error,NonRes_Trips,State_Rank,Regional_Rank
Boise River,Arrowrock Reservoir,Elmore,Elmo,ID,.,Arrowrock Reservoir_ID,43.591944,-115.916667,1,43.591944,-115.916667,.,.,.,.,.,.,Very Low,Low,0,Low,3,3,.,.,.,.,.,.,.,1937,.,.,2,58,.,2,15,High,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Snake River, Henrys Fork",Ashton Reservoir,Fremont,Frem,ID,Ashton Bridge,Ashton Reservoir_Frem_ID,44.111477,-111.454957,1,44.09354,-111.488566,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,356,.,.,.,.,.,1,19,Moderate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Badger Lake,Badger Lake,Hood River,Hood,OR,Badger Lake,Badger Lake_Hood_OR,45.30278,-121.55792,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Badger Lake,Badger Lake,Spokane,Spok,WA,Badger Lake,Badger Lake_Spok_WA,47.342839,-117.638042,1,47.34283922,-117.6380423,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,217.3,.,.,.,.,.,1,.,.,2178,1,1,0,1,1,28,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Balm Creek,Balm Creek Reservoir,Baker,Bake,OR,Balm Creek,Balm Creek Reservoir_Bake_OR,44.971117,-117.491117,1,44.97111667,-117.4911167,.,.,.,.,.,.,.,.,.,.,.,.,.,0,14,7,0,14,7,62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Ankeny,Banks Lake/Banks Reservoir_Gran_WA,47.628333,-119.328047,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Douglas,Doug,WA,Barker Canyon,Banks Lake/Banks Reservoir_Gran_WA,47.902619,-119.169042,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Coulee City Community Park,Banks Lake/Banks Reservoir_Gran_WA,47.617361,-119.295042,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Coulee Playland Resort,Banks Lake/Banks Reservoir_Gran_WA,47.938203,-119.034481,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Columbia River,Banks Lake/Banks Reservoir,Grant,Gran,WA,Million Dollar North,Banks Lake/Banks Reservoir_Gran_WA,47.754986,-119.220317,1,47.62424,-119.29768,17.8,7.9,Medium,.,Absence,.,High,High,5,High,10,15,15,.,.,.,.,.,.,25000,.,.,.,.,.,10,.,.,1570,1,1,3,0,1,50,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
